geneid	pubmedid	publication	annotationmethod	annotationsource
NCU00153	19239619	M. Duarte, A. Videira. Effects of mitochondrial complex III disruption in the respiratory chain of Neurospora crassa.	Manual	Broad_CAP
NCU00153	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU00461	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU00461	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU00461	8398079	Kapoor, M., Y. Vijayaraghavan, R. Kadonaga and K. E. LaRue.  NAD(+)-specific glutamate dehydrogenase of Neurospora crassa: cloning, complete nucleotide sequence, and gene mapping.	Manual	Broad_CAP
NCU00371	10982393	Prokisch H, Neupert W and Westermann B. Role of MMM1 in maintaining mitochondrial morphology in Neurospora crassa.	Manual	Broad_CAP
NCU00371	14722057	SC. Hoppins, FE. Nargang. The Tim8-Tim13 complex of Neurospora crassa functions in the assembly of proteins into both mitochondrial membranes.	Manual	Broad_CAP
NCU00371	9368075	C. Sirrenberg, M. Endres, K. Becker, MF. Bauer, E. Walther, W. Neupert, M. Brunner. Functional cooperation and stoichiometry of protein translocases of the outer and inner membranes of mitochondria.	Manual	Broad_CAP
NCU08228	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU01376	137162	Lehman, J. F. and R. L. Metzenberg. Regulation of phosphate metabolism in Neurospora crassa: identification of the structural gene for repressible alkaline phosphatase.	Manual	Broad_CAP
NCU01376	4280980	Gleason, M. K., and R. L. Metzenberg. Regulation of phosphate metabolism in Neurospora crassa : isolation of mutants deficient in the repressible alkaline phosphatase	Manual	Broad_CAP
NCU01376	7969122	Y. Peleg, RL. Metzenberg. Analysis of the DNA-binding and dimerization activities of Neurospora crassa transcription factor NUC-1.	Manual	Broad_CAP
NCU03616	18676954	T. Kasuga, NL. Glass. Dissecting colony development of Neurospora crassa using mRNA profiling and comparative genomics approaches.	Manual	Broad_CAP
NCU03616	4868675	Morgan, M. P., L. Garnjobst and E. L. Tatum.  Linkage relations of new morphological mutants in linkage group V of Neurospora crassa.	Manual	Broad_CAP
NCU03616	5583730	Garnjobst, L. and E. L. Tatum. A survey of new morphological mutants in Neurospora crassa 	Manual	Broad_CAP
NCU03616	9180696	Kana-uchi, A., C. T. Yamashiro, S. Tanabe and T. Murayama.  A ras homologue of Neurospora crassa regulates morphology.	Manual	Broad_CAP
NCU04202	10583364	Ogura, Y., Y. Yoshida, K. Ichimura, C. Aoyagi, N. Yabe and K. Hasunuma. Isolation and characterization of Neurospora crassa nucleoside-diphosphate kinase NNK-1.	Manual	Broad_CAP
NCU04202	14625272	Y. Yoshida, K. Hasunuma. Reactive oxygen species affect photomorphogenesis in Neurospora crassa.	Manual	Broad_CAP
NCU04202	16307287	B. Lee, Y. Yoshida, K. Hasunuma. Photomorphogenetic characteristics are severely affected in nucleoside diphosphate kinase-1 (ndk-1)-disrupted mutants in Neurospora crassa.	Manual	Broad_CAP
NCU04202	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU04202	9435784	Oda, K. and K. Hasunuma. Genetic analysis of signal transduction through light-induced protein phosphorylation in Neurospora crassa perithecia.	Manual	Broad_CAP
NCU03405	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU03491	19286985	LF. Larrondo, HV. Colot, CL. Baker, JJ. Loros, JC. Dunlap. Fungal functional genomics: tunable knockout-knock-in expression and tagging strategies.	Manual	Broad_CAP
NCU01692	12180913	ZA. Lewis, A. Correa, C. Schwerdtfeger, KL. Link, X. Xie, RH. Gomer, T. Thomas, DJ. Ebbole, D. Bell-Pedersen. Overexpression of White Collar-1 (WC-1) activates circadian clock-associated genes, but is not sufficient to induce most light-regulated gene expression in Neurospora crassa.	Manual	Broad_CAP
NCU01692	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU01692	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU01692	7904043	T. Ferea, ET. Contreras, T. Oung, EJ. Bowman, BJ. Bowman. Characterization of the cit-1 gene from Neurospora crassa encoding the mitochondrial form of citrate synthase.	Manual	Broad_CAP
NCU05498	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU09788	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU08807	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU08807	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU08807	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU08035	10340846	E. Margolles-Clark, K. Tenney, EJ. Bowman, BJ. Bowman. The structure of the vacuolar ATPase in Neurospora crassa.	Manual	Broad_CAP
NCU08035	15890365	D. Venzke, I. Domgall, T. K?cher, J. F?thi?re, S. Fischer, B. B?ttcher. Elucidation of the stator organization in the V-ATPase of Neurospora crassa.	Manual	Broad_CAP
NCU05269	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU05295	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU07659	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU07659	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU07021	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU06360	9927450	Shiu, P. K. T. and N. L. Glass. Molecular characterization of tol, a mediator of mating-type-associated vegetative incompatibility in Neurospora crassa	Manual	Broad_CAP
NCU06603	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU06997	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU08823	18084778	Y. Yoshida, T. Maeda, B. Lee, K. Hasunuma. Conidiation rhythm and light entrainment in superoxide dismutase mutant in Neurospora crassa.	Manual	Broad_CAP
NCU08823	19800017	S. Brody, K. Oelhafen, K. Schneider, S. Perrino, A. Goetz, C. Wang, C. English. Circadian rhythms in Neurospora crassa: Downstream effectors.	Manual	Broad_CAP
NCU07173	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU07190	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU07190	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU03713	18676954	T. Kasuga, NL. Glass. Dissecting colony development of Neurospora crassa using mRNA profiling and comparative genomics approaches.	Manual	Broad_CAP
NCU03986	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU07126	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU03899	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU03929	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU03929	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU05121	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU05121	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU04402	12189210	EU. Selker, M. Freitag, GO. Kothe, BS. Margolin, MR. Rountree, CD. Allis, H. Tamaru. Induction and maintenance of nonsymmetrical DNA methylation in Neurospora.	Manual	Broad_CAP
NCU04402	12712205	EU. Selker, NA. Tountas, SH. Cross, BS. Margolin, JG. Murphy, AP. Bird, M. Freitag. The methylated component of the Neurospora crassa genome.	Manual	Broad_CAP
NCU04402	12887903	X. Zhang, Z. Yang, SI. Khan, JR. Horton, H. Tamaru, EU. Selker, X. Cheng. Structural basis for the product specificity of histone lysine methyltransferases.	Manual	Broad_CAP
NCU04402	14967149	M. Freitag, PC. Hickey, TK. Khlafallah, ND. Read, EU. Selker. HP1 is essential for DNA methylation in neurospora.	Manual	Broad_CAP
NCU04402	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU04402	15218142	M. Freitag, DW. Lee, GO. Kothe, RJ. Pratt, R. Aramayo, EU. Selker. DNA methylation is independent of RNA interference in Neurospora.	Manual	Broad_CAP
NCU04402	15590646	RE. Collins, M. Tachibana, H. Tamaru, KM. Smith, D. Jia, X. Zhang, EU. Selker, Y. Shinkai, X. Cheng. In vitro and in vivo analyses of a Phe/Tyr switch controlling product specificity of histone lysine methyltransferases.	Manual	Broad_CAP
NCU04402	15935324	H. Gowher, X. Zhang, X. Cheng, A. Jeltsch. Avidin plate assay system for enzymatic characterization of a histone lysine methyltransferase.	Manual	Broad_CAP
NCU04402	18215768	P. Rathert, X. Zhang, C. Freund, X. Cheng, A. Jeltsch. Analysis of the substrate specificity of the Dim-5 histone lysine methyltransferase using peptide arrays.	Manual	Broad_CAP
NCU04402	18678653	S. Honda, EU. Selker. Direct interaction between DNA methyltransferase DIM-2 and HP1 is required for DNA methylation in Neurospora crassa.	Manual	Broad_CAP
NCU07001	5438367	Kerr, D. S. and M. Flavin.  The regulation of methionine synthesis and the nature of cystathionine ?-synthase in Neurospora.	Manual	Broad_CAP
NCU07001	5916398	Nagai, S. and M. Flavin. Acetylhomoserine and methionine biosynthesis in Neurospora	Manual	Broad_CAP
NCU04990	18676954	T. Kasuga, NL. Glass. Dissecting colony development of Neurospora crassa using mRNA profiling and comparative genomics approaches.	Manual	Broad_CAP
NCU07290	12871904	M. Nowrousian, GE. Duffield, JJ. Loros, JC. Dunlap. The frequency gene is required for temperature-dependent regulation of many clock-controlled genes in Neurospora crassa.	Manual	Broad_CAP
NCU04909	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU04905	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU01224	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU01467	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU01467	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU01430	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU04639	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU06637	12589072	Sichting M, Schell-Steven A, Prokisch H, Erdmann R and Rottensteiner H. Pex7p and Pex20p of Neurospora crassa function together in PTS2-dependent protein import into peroxisomes. 	Manual	Broad_CAP
NCU03813	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU03813	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU03813	8509325	Chow, C. M., and U. L. RajBhandary. Developmental regulation of the gene for formate dehydrogenase in Neurospora crassa	Manual	Broad_CAP
NCU08879	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
