geneid	pubmedid	publication	annotationmethod	annotationsource
NCU02274	None	Harold, C. E., and M. Fling.<br/><i> Two mutants of Neurospora crassa which utilize formate or formaldehyde for growth.</i>	Manual	Broad_CAP
NCU02274	None	Kouzminova, E., and E. U. Selker.<br/><i> A mistake in the published map of linkage group VII.</i>	Manual	Broad_CAP
NCU02274	None	Kruschwitz, H., D. McDonald, E. Cossins, and V. Schirch.<br/><i>Purification of Neurospora crassa cytosolic serine hydroxymethyltransferase.</i>	Manual	Broad_CAP
NCU02274	None	Newmeyer, D., V. C. Pollard and D. D. Perkins.<br/><i>New supplements for the formate mutant of Neurospora. A possible role for ascorbic acid?</i>	Manual	Broad_CAP
NCU02274	None	Perkins, D. D., C. W. Taylor, D. C. Bennett and B. C. Turner<br/><i>New morphological mutants that have been localized to linkage group.</i>	Manual	Broad_CAP
NCU02274	None	Perkins, D. D., M. Glassey and B. A. Bloom<br/><i>New data on markers and rearrangements in Neurospora</i>	Manual	Broad_CAP
NCU02477	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU02509	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU02707	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU02804	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU02905	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU02951	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU02998.4	None	Ahmad, M.<br/><i>A study of the lys-3 locus in Neurospora crassa.</i>	Manual	Broad_CAP
NCU02998.4	None	Barry, E. G., and J. F. Leslie<br/><i>An interstitial pericentric inversion in Neurospora</i>	Manual	Broad_CAP
NCU02998.4	None	Bonner, D. M. and G. W. Beadle.<br/><i>Mutant strains of Neurospora requiring nicotinamide or related compounds for growth</i>	Manual	Broad_CAP
NCU02998.4	None	Bonner, D. M., and C. Yanofsky.<br/><i>Quinolinic acid accumulation in the conversion of 3-hydroxyanthranilic acid to niacin in Neurospora</i>	Manual	Broad_CAP
NCU02998.4	None	Cameron, H., K. Hsu and D. Perkins<br/><i>Crossing over frequency following inbreeding in Neurospora</i>	Manual	Broad_CAP
NCU02998.4	None	Kuwana, H., and R. Okumura.<br/><i>Genetics and some characteristics of acetate-requiring strains in Neurospora crassa.</i>	Manual	Broad_CAP
NCU02998.4	None	Perkins, D. D., D. Newmeyer, C. W. Taylor and D. C. Bennett<br/><i>New markers and map sequences in Neurospora crassa, with a description of mapping by duplication coverage and of multiple translocation tocks for testing linkage</i>	Manual	Broad_CAP
NCU02998.4	None	Perkins, D. D.<br/><i>New markers and multiple point linkage data in Neurospora</i>	Manual	Broad_CAP
NCU02998.4	None	St. Lawrence, P.<br/><i> The q locus of Neurospora crassa</i>	Manual	Broad_CAP
NCU03038	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03092	None	[unspecified]	Manual	Broad_CAP
NCU03094	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03102	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03116	None	[unspecified]	Manual	Broad_CAP
NCU03229	None	W Neupert<br/><i> Biogenesis of mitochondria: pathways and machineries involved in the import of proteins. </i>	Manual	Broad_CAP
NCU03230	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03302	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03394	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03503	None	Howlett, B. C., J. F. Leslie, and D. D. Perkins<br/><i>Putative multiple alleles at the vegetative incompatibility loci het-c and het-8 in Neurospora crassa</i>	Manual	Broad_CAP
NCU03516	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03635	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03638	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03703	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03738	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03757	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03827	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU03988	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU04068	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU04138	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU04171	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU04225	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU04336	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU04412	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU04733	None	[unspecified]	Manual	Broad_CAP
NCU04779	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU04806	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU05032	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU05275.4	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU05287	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU05599	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU05714	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU05804	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06047	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06048	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06226	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06431	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06432	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06542	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06549	None	Baker, T. I.<br/><i>Phenylalanine-tyrosine biosynthesis in Neurospora crassa.</i>	Manual	Broad_CAP
NCU06549	None	Barry, E. G.<br/><i>A complex chromosome rearrangement in Neurospora crassa.</i>	Manual	Broad_CAP
NCU06549	None	Mitchell, M. B., and H. K. Mitchell.<br/><i>A partial map of linkage group D in Neurospora crassa.</i>	Manual	Broad_CAP
NCU06549	None	Perkins, D. D. and E. G. Barry<br/><i>The cytogenetics of Neurospora</i>	Manual	Broad_CAP
NCU06549	None	Radford, A.<br/><i>Further studies on the complementation at the pdx-1 locus of Neurospora crassa</i>	Manual	Broad_CAP
NCU06549	None	Radford, A.<br/><i>Heterokaryon complementation among the pyridoxine auxotrophs of Neurospora crassa</i>	Manual	Broad_CAP
NCU06550	None	Baker, T. I.<br/><i>Phenylalanine-tyrosine biosynthesis in Neurospora crassa.</i>	Manual	Broad_CAP
NCU06550	None	Barry, E. G.<br/><i>A complex chromosome rearrangement in Neurospora crassa.</i>	Manual	Broad_CAP
NCU06550	None	Mitchell, M. B., and H. K. Mitchell.<br/><i>A partial map of linkage group D in Neurospora crassa.</i>	Manual	Broad_CAP
NCU06550	None	Perkins, D. D. and E. G. Barry<br/><i>The cytogenetics of Neurospora</i>	Manual	Broad_CAP
NCU06550	None	Radford, A.<br/><i>Further studies on the complementation at the pdx-1 locus of Neurospora crassa</i>	Manual	Broad_CAP
NCU06550	None	Radford, A.<br/><i>Heterokaryon complementation among the pyridoxine auxotrophs of Neurospora crassa</i>	Manual	Broad_CAP
NCU06661	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06743	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06749	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06768	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06786	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU06843	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU17171	None	Radford, A.<br/><i>Unpublished</i>	Manual	Broad_CAP
NCU06892	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07057	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07182	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07386	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07549	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07560	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07826	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07829	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07852	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07857.4	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU07945	None	[unspecified]	Manual	Broad_CAP
NCU08299	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08329	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08344	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08389	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08410	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08500	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08502	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08552	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08620	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU16833	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU16833	None	Radford, A.<br/><i>Unpublished</i>	Manual	Broad_CAP
NCU08728	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08823	None	Feldman, J. F., G. Gardner, and R. Denison<br/><i>Genetic analysis of the circadian clock of Neurospora. In M. Suda, O. Hayaishi, and H. Nakagawa (ed.), Naito Foundation symposium on biological rhythms and their central mechanism. North-Holland Publishing Co., Amsterdam.</i>	Manual	Broad_CAP
NCU08823	None	Ito, S., T. Ichihara, Y. Matsui, A. Toh-e, and H. Inoue<br/><i>Structural and functional analyses of Neurospora crassa ras gene</i>	Manual	Broad_CAP
NCU08823	None	Ito-Harashima, S., M. Sugisaki, T. Ichihara, Y. Matsui, A. Toh-e, and H. Inoue<br/><i>Analyses of structures and ras-superfamily of Neurospora crassa</i>	Manual	Broad_CAP
NCU08823	None	Lewis, M. T., and J. F. Feldman.<br/><i>Genetic mapping of the bd locus.</i>	Manual	Broad_CAP
NCU08823	None	Sargent, M. L. and S. H. Kaltenborn.<br/><i> Effects of medium composition and carbon dioxide on circadian conidiation in Neurospora.</i>	Manual	Broad_CAP
NCU08823	None	Sargent, M. L., W. R. Briggs and D. O. Woodward.<br/><i>Circadian nature of a rhythm expressed by an invertaseless strain of Neurospora crassa </i>	Manual	Broad_CAP
NCU08861	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08893	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08947	None	Nelson, M. A. and D. D. Perkins<br/><i>Restriction polymorphism maps of Neurospora crassa: latest update.</i>	Manual	Broad_CAP
NCU08960	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08963	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08964	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU08990	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU09089	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU09109	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU09230	None	Reveal and Paietta<br/><i>Molecular cloning and regulatory analysis of the cystathionine beta- and gamma-lyase genes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU09235	None	Nelson, M.A., M. E. Crawford and D.O. Natvig.<br/><i>Restriction polymorphism maps of Neurospora crassa: 1998 update</i>	Manual	Broad_CAP
NCU09235	None	Roberts, A. N. and C. Yanofsky<br/><i>Genes expressed during conidiation in Neurospora crassa: characterization of con -8</i>	Manual	Broad_CAP
NCU17187	None	Schwarz G<br/><i> Molybdenum cofactor biosynthesis and deficiency </i>	Manual	Broad_CAP
NCU09475	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU09476	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU09539	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU09539	None	Radford, A.<br/><i>Unpublished</i>	Manual	Broad_CAP
NCU09817	None	Courtright, J. B.<br/><i>Growth of ropy mutants on glycerol and acetate.</i>	Manual	Broad_CAP
NCU09817	None	Halsall, D. M., and C. H. Doy<br/><i>Studies concerning the biochemical genetics and physiology of activity and allosteric inhibition mutants of Neurospora crassa 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase.</i>	Manual	Broad_CAP
NCU09817	None	Minke, P., J. Tinsley, H. Lee, and M. Plamann.<br/><i>Analysis of Neurospora ropy genes encoding novel proteins required for normal hyphal growth and nuclear distribution.</i>	Manual	Broad_CAP
NCU09817	None	Perkins, D. D. and M. Bj<br/><i>Additional special purpose stocks</i>	Manual	Broad_CAP
NCU10311	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU10311	None	Radford, A.<br/><i>Unpublished</i>	Manual	Broad_CAP
NCU10498	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU10895	None	S Conway, P J Yeadon, F J Bowring and D E A Catcheside<br/><i> Deletion of msh-4 reduces crossing over and obstructs meiosis. </i>	Manual	Broad_CAP
