geneid	evidencecode	pubmedid	publication	termid	termname	termnamespace
NCU08554	IDA	9822668	O. Kops, C. Eckerskorn, S. Hottenrott, G. Fischer, H. Mi, M. Tropschug. Ssp1, a site-specific parvulin homolog from Neurospora crassa active in protein folding.	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	F
NCU08554	IDA	9822668	O. Kops, C. Eckerskorn, S. Hottenrott, G. Fischer, H. Mi, M. Tropschug. Ssp1, a site-specific parvulin homolog from Neurospora crassa active in protein folding.	GO:0006457	protein folding	P
NCU08992	IMP	21354536	MK. Watters, M. Boersma, M. Johnson, C. Reyes, E. Westrick, E. Lindamood. A screen for Neurospora knockout mutants displaying growth rate dependent branch density.	GO:0030448	hyphal growth	P
NCU00347	IDA	21920312	F. Liu, Y. Lu, L. Pieuchot, T. Dhavale, G. Jedd. Import oligomers induce positive feedback to promote peroxisome differentiation and control organelle abundance.	GO:0005778	peroxisomal membrane	C
NCU00347	IMP	21920312	F. Liu, Y. Lu, L. Pieuchot, T. Dhavale, G. Jedd. Import oligomers induce positive feedback to promote peroxisome differentiation and control organelle abundance.	GO:0016558	protein import into peroxisome matrix	P
NCU00153	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0031966	mitochondrial membrane	C
NCU00153	IDA	12556227	M. Duarte, M. Peters, U. Schulte, A. Videira. The internal alternative NADH dehydrogenase of Neurospora crassa mitochondria.	GO:0005743	mitochondrial inner membrane	C
NCU00153	IMP	12556227	M. Duarte, M. Peters, U. Schulte, A. Videira. The internal alternative NADH dehydrogenase of Neurospora crassa mitochondria.	GO:0003959	NADPH dehydrogenase activity	F
NCU00153	IMP	12556227	M. Duarte, M. Peters, U. Schulte, A. Videira. The internal alternative NADH dehydrogenase of Neurospora crassa mitochondria.	GO:0009847	spore germination	P
NCU00461	IEP	2822659	PJ. Vierula, M. Kapoor. Antibiotic-induced derepression of the NAD-specific glutamate dehydrogenase of Neurospora crassa.	GO:0046677	response to antibiotic	P
NCU00371	IPI	12574118	D. Mokranjac, SA. Paschen, C. Kozany, H. Prokisch, SC. Hoppins, FE. Nargang, W. Neupert, K. Hell. Tim50, a novel component of the TIM23 preprotein translocase of mitochondria.	GO:0005744	mitochondrial inner membrane presequence translocase complex	C
NCU00371	TAS	12574118	D. Mokranjac, SA. Paschen, C. Kozany, H. Prokisch, SC. Hoppins, FE. Nargang, W. Neupert, K. Hell. Tim50, a novel component of the TIM23 preprotein translocase of mitochondria.	GO:0045041	protein import into mitochondrial intermembrane space	P
NCU04202	IDA	17636331	N. Wang, Y. Yoshida, K. Hasunuma. Catalase-1 (CAT-1) and nucleoside diphosphate kinase-1 (NDK-1) play an important role in protecting conidial viability under light stress in Neurospora crassa.	GO:0051287	NAD binding	F
NCU04202	IDA	10583364	Y. Ogura, Y. Yoshida, K. Ichimura, C. Aoyagi, N. Yabe, K. Hasunuma. Isolation and characterization of Neurospora crassa nucleoside diphosphate kinase NDK-1.	GO:0004550	nucleoside diphosphate kinase activity	F
NCU04202	IDA	10583364	Y. Ogura, Y. Yoshida, K. Ichimura, C. Aoyagi, N. Yabe, K. Hasunuma. Isolation and characterization of Neurospora crassa nucleoside diphosphate kinase NDK-1.	GO:0016310	phosphorylation	P
NCU04202	IDA	10583364	Y. Ogura, Y. Yoshida, K. Ichimura, C. Aoyagi, N. Yabe, K. Hasunuma. Isolation and characterization of Neurospora crassa nucleoside diphosphate kinase NDK-1.	GO:0046777	protein autophosphorylation	P
NCU04202	IMP	19765588	B. Lee, Y. Yoshida, K. Hasunuma. Nucleoside diphosphate kinase-1 regulates hyphal development via the transcriptional regulation of catalase in Neurospora crassa.	GO:0030448	hyphal growth	P
NCU04202	IMP	16697373	Y. Yoshida, Y. Ogura, K. Hasunuma. Interaction of nucleoside diphosphate kinase and catalases for stress and light responses in Neurospora crassa.	GO:0006979	response to oxidative stress	P
NCU04202	TAS	10583364	Y. Ogura, Y. Yoshida, K. Ichimura, C. Aoyagi, N. Yabe, K. Hasunuma. Isolation and characterization of Neurospora crassa nucleoside diphosphate kinase NDK-1.	GO:0009637	response to blue light	P
NCU01102	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0031966	mitochondrial membrane	C
NCU01102	IEP	11823466	FE. Nargang, M. Preuss, W. Neupert, JM. Herrmann. The Oxa1 protein forms a homooligomeric complex and is an essential part of the mitochondrial export translocase in Neurospora crassa.	GO:0005739	mitochondrion	C
NCU01102	IGI	11823466	FE. Nargang, M. Preuss, W. Neupert, JM. Herrmann. The Oxa1 protein forms a homooligomeric complex and is an essential part of the mitochondrial export translocase in Neurospora crassa.	GO:0045039	protein import into mitochondrial inner membrane	P
NCU01102	IMP	11823466	FE. Nargang, M. Preuss, W. Neupert, JM. Herrmann. The Oxa1 protein forms a homooligomeric complex and is an essential part of the mitochondrial export translocase in Neurospora crassa.	GO:0032981	mitochondrial respiratory chain complex I assembly	P
NCU01485	IC	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0006412	translation	P
NCU01485	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0005761	mitochondrial ribosome	C
NCU01485	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0031966	mitochondrial membrane	C
NCU01485	IPI	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0003735	structural constituent of ribosome	F
NCU01485	IPI	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0005762	mitochondrial large ribosomal subunit	C
NCU01763	IEP	19262566	CH. Chen, CS. Ringelberg, RH. Gross, JC. Dunlap, JJ. Loros. Genome-wide analysis of light-inducible responses reveals hierarchical light signalling in Neurospora.	GO:0009416	response to light stimulus	P
NCU03491	IMP	9578630	GA. Kuldau, NB. Raju, NL. Glass. Repeat-induced point mutations in Pad-1, a putative RNA splicing factor from Neurospora crassa, confer dominant lethal effects on ascus development.	GO:0000909	sporocarp development involved in sexual reproduction	P
NCU03491	IMP	9578630	GA. Kuldau, NB. Raju, NL. Glass. Repeat-induced point mutations in Pad-1, a putative RNA splicing factor from Neurospora crassa, confer dominant lethal effects on ascus development.	GO:0030437	ascospore formation	P
NCU01692	IDA	20707002	D. Managadze, C. W?rtz, S. Wiese, HE. Meyer, G. Niehaus, R. Erdmann, B. Warscheid, H. Rottensteiner. A proteomic approach towards the identification of the matrix protein content of the two types of microbodies in Neurospora crassa.	GO:0009514	glyoxysome	C
NCU01692	IDA	17873079	I. Marques, NA. Dencher, A. Videira, F. Krause. Supramolecular organization of the respiratory chain in Neurospora crassa mitochondria.	GO:0005739	mitochondrion	C
NCU03857	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0005739	mitochondrion	C
NCU04935	IEP	17371837	S. Choudhary, HC. Lee, M. Maiti, Q. He, P. Cheng, Q. Liu, Y. Liu. A double-stranded-RNA response program important for RNA interference efficiency.	GO:0043331	response to dsRNA	P
NCU08807	IDA	10361038	I. de la Serna, D. Ng, BM. Tyler. Carbon regulation of ribosomal genes in Neurospora crassa occurs by a mechanism which does not require Cre-1, the homologue of the Aspergillus carbon catabolite repressor, CreA.	GO:0043565	sequence-specific DNA binding	F
NCU08807	IDA	21980519	J. Sun, NL. Glass. Identification of the CRE-1 cellulolytic regulon in Neurospora crassa.	GO:0005634	nucleus	C
NCU08807	IMP	17625933	C. Ziv, R. Gorovits, O. Yarden. Carbon source affects PKA-dependent polarity of Neurospora crassa in a CRE-1-dependent and independent manner.	GO:0009750	response to fructose stimulus	P
NCU08807	IMP	17625933	C. Ziv, R. Gorovits, O. Yarden. Carbon source affects PKA-dependent polarity of Neurospora crassa in a CRE-1-dependent and independent manner.	GO:0010382	cellular cell wall macromolecule metabolic process	P
NCU08807	IMP	17625933	C. Ziv, R. Gorovits, O. Yarden. Carbon source affects PKA-dependent polarity of Neurospora crassa in a CRE-1-dependent and independent manner.	GO:0030448	hyphal growth	P
NCU08807	IMP	17625933	C. Ziv, R. Gorovits, O. Yarden. Carbon source affects PKA-dependent polarity of Neurospora crassa in a CRE-1-dependent and independent manner.	GO:0040009	regulation of growth rate	P
NCU08807	IMP	21980519	J. Sun, NL. Glass. Identification of the CRE-1 cellulolytic regulon in Neurospora crassa.	GO:0045013	carbon catabolite repression of transcription	P
NCU08807	IMP	21980519	J. Sun, NL. Glass. Identification of the CRE-1 cellulolytic regulon in Neurospora crassa.	GO:0050708	regulation of protein secretion	P
NCU08035	ISS	10340846	E. Margolles-Clark, K. Tenney, EJ. Bowman, BJ. Bowman. The structure of the vacuolar ATPase in Neurospora crassa.	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	C
NCU08296	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0005761	mitochondrial ribosome	C
NCU08296	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0031966	mitochondrial membrane	C
NCU05269	IDA	9556627	N. Plesofsky-Vig, R. Brambl. Characterization of an 88-kDa heat shock protein of Neurospora crassa that interacts with Hsp30.	GO:0005524	ATP binding	F
NCU05269	IDA	9556627	N. Plesofsky-Vig, R. Brambl. Characterization of an 88-kDa heat shock protein of Neurospora crassa that interacts with Hsp30.	GO:0031072	heat shock protein binding	F
NCU05269	IEP	16990038	R. Noguchi, S. Banno, R. Ichikawa, F. Fukumori, A. Ichiishi, M. Kimura, I. Yamaguchi, M. Fujimura. Identification of OS-2 MAP kinase-dependent genes induced in response to osmotic stress, antifungal agent fludioxonil, and heat shock in Neurospora crassa.	GO:0009408	response to heat	P
NCU07338	IEP	19262566	CH. Chen, CS. Ringelberg, RH. Gross, JC. Dunlap, JJ. Loros. Genome-wide analysis of light-inducible responses reveals hierarchical light signalling in Neurospora.	GO:0009416	response to light stimulus	P
NCU07659	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0031966	mitochondrial membrane	C
NCU07659	IDA	17873079	I. Marques, NA. Dencher, A. Videira, F. Krause. Supramolecular organization of the respiratory chain in Neurospora crassa mitochondria.	GO:0005739	mitochondrion	C
NCU06603	IEP	19262566	CH. Chen, CS. Ringelberg, RH. Gross, JC. Dunlap, JJ. Loros. Genome-wide analysis of light-inducible responses reveals hierarchical light signalling in Neurospora.	GO:0009416	response to light stimulus	P
NCU06997	IEP	14599890	V. Aign, JD. Hoheisel. Analysis of nutrient-dependent transcript variations in Neurospora crassa.	GO:0010034	response to acetate	P
NCU08823	IDA	17575051	WJ. Belden, LF. Larrondo, AC. Froehlich, M. Shi, CH. Chen, JJ. Loros, JC. Dunlap. The band mutation in Neurospora crassa is a dominant allele of ras-1 implicating RAS signaling in circadian output.	GO:0003924	GTPase activity	F
NCU08823	IMP	17575051	WJ. Belden, LF. Larrondo, AC. Froehlich, M. Shi, CH. Chen, JJ. Loros, JC. Dunlap. The band mutation in Neurospora crassa is a dominant allele of ras-1 implicating RAS signaling in circadian output.	GO:0006801	superoxide metabolic process	P
NCU08823	IMP	17575051	WJ. Belden, LF. Larrondo, AC. Froehlich, M. Shi, CH. Chen, JJ. Loros, JC. Dunlap. The band mutation in Neurospora crassa is a dominant allele of ras-1 implicating RAS signaling in circadian output.	GO:0007623	circadian rhythm	P
NCU08823	IMP	17575051	WJ. Belden, LF. Larrondo, AC. Froehlich, M. Shi, CH. Chen, JJ. Loros, JC. Dunlap. The band mutation in Neurospora crassa is a dominant allele of ras-1 implicating RAS signaling in circadian output.	GO:0032922	circadian regulation of gene expression	P
NCU08823	IMP	22164247	Y. Yoshida, H. Iigusa, N. Wang, K. Hasunuma. Cross-talk between the cellular redox state and the circadian system in Neurospora.	GO:2000377	regulation of reactive oxygen species metabolic process	P
NCU07173	IMP	22646057	A. Mu?oz, JF. Marcos, ND. Read. Concentration-dependent mechanisms of cell penetration and killing by the de novo designed antifungal hexapeptide PAF26.	GO:0030448	hyphal growth	P
NCU01243	IEP	19262566	CH. Chen, CS. Ringelberg, RH. Gross, JC. Dunlap, JJ. Loros. Genome-wide analysis of light-inducible responses reveals hierarchical light signalling in Neurospora.	GO:0009416	response to light stimulus	P
NCU07232	IEP	19262566	CH. Chen, CS. Ringelberg, RH. Gross, JC. Dunlap, JJ. Loros. Genome-wide analysis of light-inducible responses reveals hierarchical light signalling in Neurospora.	GO:0009416	response to light stimulus	P
NCU04001	IMP	16801547	HV. Colot, G. Park, GE. Turner, C. Ringelberg, CM. Crew, L. Litvinkova, RL. Weiss, KA. Borkovich, JC. Dunlap. A high-throughput gene knockout procedure for Neurospora reveals functions for multiple transcription factors.	GO:0000909	sporocarp development involved in sexual reproduction	P
NCU04402	IDA	12679815	H. Tamaru, X. Zhang, D. McMillen, PB. Singh, J. Nakayama, SI. Grewal, CD. Allis, X. Cheng, EU. Selker. Trimethylated lysine 9 of histone H3 is a mark for DNA methylation in Neurospora crassa.	GO:0042054	histone methyltransferase activity	F
NCU04402	IDA	12679815	H. Tamaru, X. Zhang, D. McMillen, PB. Singh, J. Nakayama, SI. Grewal, CD. Allis, X. Cheng, EU. Selker. Trimethylated lysine 9 of histone H3 is a mark for DNA methylation in Neurospora crassa.	GO:0051567	histone H3-K9 methylation	P
NCU04402	IDA	12372305	X. Zhang, H. Tamaru, SI. Khan, JR. Horton, LJ. Keefe, EU. Selker, X. Cheng. Structure of the Neurospora SET domain protein DIM-5, a histone H3 lysine methyltransferase.	GO:0046974	histone methyltransferase activity (H3-K9 specific)	F
NCU04402	IMP	15831483	A. Chicas, EC. Forrest, S. Sepich, C. Cogoni, G. Macino. Small interfering RNAs that trigger posttranscriptional gene silencing are not required for the histone H3 Lys9 methylation necessary for transgenic tandem repeat stabilization in Neurospora crassa.	GO:0016441	posttranscriptional gene silencing	P
NCU04402	IMP	11713521	H. Tamaru, EU. Selker. A histone H3 methyltransferase controls DNA methylation in Neurospora crassa.	GO:0006306	DNA methylation	P
NCU04402	IMP	11713521	H. Tamaru, EU. Selker. A histone H3 methyltransferase controls DNA methylation in Neurospora crassa.	GO:0040009	regulation of growth rate	P
NCU04402	IMP	19014414	KM. Smith, GO. Kothe, CB. Matsen, TK. Khlafallah, KK. Adhvaryu, M. Hemphill, M. Freitag, MR. Motamedi, EU. Selker. The fungus Neurospora crassa displays telomeric silencing mediated by multiple sirtuins and by methylation of histone H3 lysine 9.	GO:0006348	chromatin silencing at telomere	P
NCU07001	IMP	8532524	CJ. Roberts, EU. Selker. Mutations affecting the biosynthesis of S-adenosylmethionine cause reduction of DNA methylation in Neurospora crassa.	GO:0044030	regulation of DNA methylation	P
NCU04990	IMP	21965514	G. Park, JA. Servin, GE. Turner, L. Altamirano, HV. Colot, P. Collopy, L. Litvinkova, L. Li, CA. Jones, FG. Diala, JC. Dunlap, KA. Borkovich. Global analysis of serine-threonine protein kinase genes in Neurospora crassa.	GO:0000909	sporocarp development involved in sexual reproduction	P
NCU04990	IMP	21965514	G. Park, JA. Servin, GE. Turner, L. Altamirano, HV. Colot, P. Collopy, L. Litvinkova, L. Li, CA. Jones, FG. Diala, JC. Dunlap, KA. Borkovich. Global analysis of serine-threonine protein kinase genes in Neurospora crassa.	GO:0006979	response to oxidative stress	P
NCU04990	IMP	21965514	G. Park, JA. Servin, GE. Turner, L. Altamirano, HV. Colot, P. Collopy, L. Litvinkova, L. Li, CA. Jones, FG. Diala, JC. Dunlap, KA. Borkovich. Global analysis of serine-threonine protein kinase genes in Neurospora crassa.	GO:0030437	ascospore formation	P
NCU04990	IMP	21965514	G. Park, JA. Servin, GE. Turner, L. Altamirano, HV. Colot, P. Collopy, L. Litvinkova, L. Li, CA. Jones, FG. Diala, JC. Dunlap, KA. Borkovich. Global analysis of serine-threonine protein kinase genes in Neurospora crassa.	GO:0030448	hyphal growth	P
NCU04990	IMP	21965514	G. Park, JA. Servin, GE. Turner, L. Altamirano, HV. Colot, P. Collopy, L. Litvinkova, L. Li, CA. Jones, FG. Diala, JC. Dunlap, KA. Borkovich. Global analysis of serine-threonine protein kinase genes in Neurospora crassa.	GO:0048315	conidium formation	P
NCU04990	IMP	21965514	G. Park, JA. Servin, GE. Turner, L. Altamirano, HV. Colot, P. Collopy, L. Litvinkova, L. Li, CA. Jones, FG. Diala, JC. Dunlap, KA. Borkovich. Global analysis of serine-threonine protein kinase genes in Neurospora crassa.	GO:0070787	conidiophore development	P
NCU06544	IDA	15813728	L. Franchi, V. Fulci, G. Macino. Protein kinase C modulates light responses in Neurospora by regulating the blue light photoreceptor WC-1.	GO:0006468	protein phosphorylation	P
NCU06544	IEP	21070858	R. Khatun, P. Lakin-Thomas. Activation and localization of protein kinase C in Neurospora crassa.	GO:0000934	porous cell septum	C
NCU06544	IEP	21070858	R. Khatun, P. Lakin-Thomas. Activation and localization of protein kinase C in Neurospora crassa.	GO:0001411	hyphal tip	C
NCU07925	IMP	21257746	D. Chen, M. Vollmar, MN. Rossi, C. Phillips, R. Kraehenbuehl, D. Slade, PV. Mehrotra, F. von Delft, SK. Crosthwaite, O. Gileadi, JM. Denu, I. Ahel. Identification of macrodomain proteins as novel O-acetyl-ADP-ribose deacetylases.	GO:0051725	protein de-ADP-ribosylation	P
NCU04225	IC	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0006412	translation	P
NCU04225	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0005761	mitochondrial ribosome	C
NCU04225	IPI	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0003735	structural constituent of ribosome	F
NCU04225	IPI	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0005762	mitochondrial large ribosomal subunit	C
NCU01467	IC	15863099	I. Marques, M. Duarte, J. Assun??o, AV. Ushakova, A. Videira. Composition of complex I from Neurospora crassa and disruption of two "accessory" subunits.	GO:0005739	mitochondrion	C
NCU01467	IC	15863099	I. Marques, M. Duarte, J. Assun??o, AV. Ushakova, A. Videira. Composition of complex I from Neurospora crassa and disruption of two "accessory" subunits.	GO:0005747	mitochondrial respiratory chain complex I	C
NCU01467	IC	15863099	I. Marques, M. Duarte, J. Assun??o, AV. Ushakova, A. Videira. Composition of complex I from Neurospora crassa and disruption of two "accessory" subunits.	GO:0006116	NADH oxidation	P
NCU01467	IC	15863099	I. Marques, M. Duarte, J. Assun??o, AV. Ushakova, A. Videira. Composition of complex I from Neurospora crassa and disruption of two "accessory" subunits.	GO:0009055	electron carrier activity	F
NCU06721	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0005739	mitochondrion	C
NCU07205	IMP	15068336	F. Gao-Rubinelli, GA. Marzluf. Identification and characterization of a nitrate transporter gene in Neurospora crassa.	GO:0015706	nitrate transport	P
NCU03813	IDA	8509325	CM. Chow, UL. RajBhandary. Developmental regulation of the gene for formate dehydrogenase in Neurospora crassa.	GO:0008863	formate dehydrogenase activity	F
NCU04636	IDA	21145408	A. Keeping, D. Deabreu, M. Dibernardo, RA. Collins. Gel-based mass spectrometric and computational approaches to the mitochondrial proteome of Neurospora.	GO:0005739	mitochondrion	C
NCU01460	IC	None	None	GO:0005623	cell	C
NCU01460	IC	20040598	T. Kruse, C. Gehl, M. Geisler, M. Lehrke, P. Ringel, S. Hallier, R. H?nsch, RR. Mendel. Identification and biochemical characterization of molybdenum cofactor-binding proteins from Arabidopsis thaliana.	GO:0044464	cell part	C
NCU01460	IMP	20957187	HC. Lee, AP. Aalto, Q. Yang, SS. Chang, G. Huang, D. Fisher, J. Cha, MM. Poranen, DH. Bamford, Y. Liu. The DNA/RNA-dependent RNA polymerase QDE-1 generates aberrant RNA and dsRNA for RNAi in a process requiring replication protein A and a DNA helicase.	GO:0016441	posttranscriptional gene silencing	P
